D_eff,delta_psi,recent_hits,S_final,fertile,intelligence_score,compression_ratio,fidelity_proxy
12,0.5,2,0.14152412792651914,False,0.0,48.0,0.0
12,0.5,3,0.1415573090040837,False,0.0,48.0,0.0
12,0.6,0,0.17147904986198084,False,0.0,48.0,0.0
12,0.6,1,0.17148380776093064,False,0.0,48.0,0.0
12,0.6,2,0.171488561041068,False,0.0,48.0,0.0
12,0.6,3,0.17149330970697377,False,0.0,48.0,0.0
12,0.7,0,0.21684452087774156,True,0.6216301391849437,48.0,0.9243260278369888
12,0.7,1,0.21680623086806075,True,0.6213748724537382,48.0,0.9242749744907477
12,0.7,2,0.2167679780290668,True,0.621119853527112,48.0,0.9242239707054225
12,0.7,3,0.2167297623238947,True,0.620865082159298,48.0,0.9241730164318597
12,0.8,0,0.27355639999165665,True,0.9997093332777109,48.0,0.9999418666555422
12,0.8,1,0.2734642953133369,True,0.9990953020889125,48.0,0.9998190604177826
12,0.8,2,0.27337228004722103,True,0.9984818669814735,48.0,0.9996963733962947
12,0.8,3,0.2732803541046323,True,0.9978690273642153,48.0,0.9995738054728431
12,0.9,0,0.3352299271826636,True,0.5891338187822428,48.0,0.9178267637564486
12,0.9,1,0.3350792996607802,True,0.5901380022614653,48.0,0.9180276004522931
12,0.9,2,0.3349288183631599,True,0.5911412109122673,48.0,0.9182282421824535
12,0.9,3,0.33477848314478087,True,0.5921434457014609,48.0,0.9184286891402922
12,1.0,0,0.3933723565163407,False,0.0,48.0,0.0
12,1.0,1,0.3931665568573787,False,0.0,48.0,0.0
12,1.0,2,0.39296095698198286,False,0.0,48.0,0.0
12,1.0,3,0.39275555669201234,False,0.0,48.0,0.0
12,1.1,0,0.43795110563998896,False,0.0,48.0,0.0
12,1.1,1,0.4377030046034336,False,0.0,48.0,0.0
12,1.1,2,0.43745514441523564,False,0.0,48.0,0.0
12,1.1,3,0.4372075248365275,False,0.0,48.0,0.0
12,1.2,0,0.4582375846960511,False,0.0,48.0,0.0
12,1.2,1,0.45797023354531663,False,0.0,48.0,0.0
12,1.2,2,0.4577031419303197,False,0.0,48.0,0.0
12,1.2,3,0.45743630959365905,False,0.0,48.0,0.0
13,0.2,0,0.14933204513643641,False,0.0,52.0,0.0
13,0.2,1,0.14935781862752087,False,0.0,52.0,0.0
13,0.2,2,0.1493835670985447,False,0.0,52.0,0.0
13,0.2,3,0.1494092905743221,False,0.0,52.0,0.0
13,0.3,0,0.132127706092394,False,0.0,52.0,0.0
13,0.3,1,0.1321698050133403,False,0.0,52.0,0.0
13,0.3,2,0.13221186306603355,False,0.0,52.0,0.0
13,0.3,3,0.13225388029100585,False,0.0,52.0,0.0
13,0.4,0,0.12884687477377557,False,0.0,52.0,0.0
13,0.4,1,0.12889208691990564,False,0.0,52.0,0.0
13,0.4,2,0.12893725517556553,False,0.0,52.0,0.0
13,0.4,3,0.12898237958428485,False,0.0,52.0,0.0
13,0.5,0,0.1417942789821745,False,0.0,52.0,0.0
13,0.5,1,0.14182720516144723,False,0.0,52.0,0.0
13,0.5,2,0.14186009937706393,False,0.0,52.0,0.0
13,0.5,3,0.14189296166072535,False,0.0,52.0,0.0
13,0.6,0,0.17152722335108214,False,0.0,52.0,0.0
13,0.6,1,0.17153193553755694,False,0.0,52.0,0.0
13,0.6,2,0.17153664314959555,False,0.0,52.0,0.0
13,0.6,3,0.17154134619173475,False,0.0,52.0,0.0
13,0.7,0,0.21645683644318045,True,0.6190455762878696,52.0,0.923809115257574
13,0.7,1,0.21641891431249974,True,0.6187927620833316,52.0,0.9237585524166664
13,0.7,2,0.21638102899538103,True,0.6185401933025401,52.0,0.9237080386605081
13,0.7,3,0.21634318045531345,True,0.6182878697020896,52.0,0.923657573940418
13,0.8,0,0.27262384472639273,True,0.9934922981759514,52.0,0.9986984596351903
13,0.8,1,0.272532624962369,True,0.9928841664157934,52.0,0.9985768332831587
13,0.8,2,0.27244149375150356,True,0.9922766250100237,52.0,0.9984553250020047
